AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-19|18.8|19.0|18.9|77854|Incidence|410614782|All Cancer Sites Combined|2013-2017
0-19|0.9|1.0|1.0|3949|Incidence|410614782|Bones and Joints|2013-2017
0-19|3.3|3.4|3.3|13650|Incidence|410614782|Brain and Other Nervous System|2013-2017
0-19|0.7|0.8|0.7|3048|Incidence|410614782|Kidney and Renal Pelvis|2013-2017
0-19|1.2|1.2|1.2|5003|Incidence|410614782|Hodgkin Lymphoma|2013-2017
0-19|1.2|1.3|1.3|5223|Incidence|410614782|Non-Hodgkin Lymphoma|2013-2017
0-19|4.5|4.6|4.5|18603|Incidence|410614782|Leukemia|2013-2017
0-19|3.3|3.4|3.4|13760|Incidence|410614782|Acute Lymphocytic|2013-2017
0-19|0.7|0.8|0.8|3162|Incidence|410614782|Acute Myeloid|2013-2017
0-19|1.0|1.1|1.1|4451|Incidence|410614782|Soft Tissue|2013-2017
0-19|5.7|5.9|5.8|23927|Incidence|410614782|Other|2013-2017
0-19|18.9|19.5|19.2|15822|Incidence|82110969|All Cancer Sites Combined|2016
0-19|0.9|1.1|1.0|823|Incidence|82110969|Bones and Joints|2016
0-19|3.1|3.3|3.2|2632|Incidence|82110969|Brain and Other Nervous System|2016
0-19|0.7|0.8|0.7|581|Incidence|82110969|Kidney and Renal Pelvis|2016
0-19|1.2|1.3|1.2|1032|Incidence|82110969|Hodgkin Lymphoma|2016
0-19|1.2|1.4|1.3|1080|Incidence|82110969|Non-Hodgkin Lymphoma|2016
0-19|4.5|4.8|4.7|3847|Incidence|82110969|Leukemia|2016
0-19|3.4|3.6|3.5|2877|Incidence|82110969|Acute Lymphocytic|2016
0-19|0.7|0.9|0.8|649|Incidence|82110969|Acute Myeloid|2016
0-19|1.0|1.2|1.1|890|Incidence|82110969|Soft Tissue|2016
0-19|5.8|6.1|6.0|4937|Incidence|82110969|Other|2016
0-19|17.9|18.5|18.2|15013|Incidence|82066030|All Cancer Sites Combined|2017
0-19|0.9|1.0|0.9|770|Incidence|82066030|Bones and Joints|2017
0-19|3.2|3.4|3.3|2713|Incidence|82066030|Brain and Other Nervous System|2017
0-19|0.6|0.7|0.7|563|Incidence|82066030|Kidney and Renal Pelvis|2017
0-19|1.1|1.3|1.2|989|Incidence|82066030|Hodgkin Lymphoma|2017
0-19|1.1|1.3|1.2|994|Incidence|82066030|Non-Hodgkin Lymphoma|2017
0-19|4.2|4.5|4.3|3543|Incidence|82066030|Leukemia|2017
0-19|3.1|3.3|3.2|2641|Incidence|82066030|Acute Lymphocytic|2017
0-19|0.7|0.8|0.7|589|Incidence|82066030|Acute Myeloid|2017
0-19|1.0|1.1|1.0|855|Incidence|82066030|Soft Tissue|2017
